"","municip_number","location_number","latlon","sea_temperature","sitting_lice","moving_lice","adult_females","year","month","date","prod_area_id","prod_area_name"
"174","2004",10834,"(-999.0,-999.0)",6.42,NA,0,0,2008,1,1,12,"Vest-Finnmark"
"175","2004",10834,"(-999.0,-999.0)",5.69,NA,0,0,2008,2,1,12,"Vest-Finnmark"
"176","2004",10834,"(-999.0,-999.0)",4.84,NA,0,0,2008,3,1,12,"Vest-Finnmark"
"177","2004",10834,"(-999.0,-999.0)",4.24,NA,0,0,2008,4,1,12,"Vest-Finnmark"
"178","2004",10834,"(-999.0,-999.0)",4.01,NA,0,0,2008,5,1,12,"Vest-Finnmark"
"179","2004",10834,"(-999.0,-999.0)",5.01,NA,0,0,2008,6,1,12,"Vest-Finnmark"
"180","2004",10834,"(-999.0,-999.0)",6.37,NA,0,0,2008,7,1,12,"Vest-Finnmark"
"181","2004",10834,"(-999.0,-999.0)",8,NA,0,0,2008,8,1,12,"Vest-Finnmark"
"182","2004",10834,"(-999.0,-999.0)",7.51,NA,0.1,0.01,2008,9,1,12,"Vest-Finnmark"
"183","2004",10834,"(-999.0,-999.0)",8.12,NA,0.1,0.1,2008,10,1,12,"Vest-Finnmark"
"184","2004",10834,"(-999.0,-999.0)",7.66,NA,0.1,0.01,2008,11,1,12,"Vest-Finnmark"
"185","2004",10834,"(-999.0,-999.0)",7.4,NA,1.7,0.35,2008,12,1,12,"Vest-Finnmark"
"186","2004",10834,"(-999.0,-999.0)",6.24,NA,0,0.05,2009,1,1,12,"Vest-Finnmark"
"187","2004",10834,"(-999.0,-999.0)",5.31,NA,0,0,2009,2,1,12,"Vest-Finnmark"
"188","2004",10834,"(-999.0,-999.0)",4.43,NA,0,0,2009,3,1,12,"Vest-Finnmark"
"189","2004",10834,"(-999.0,-999.0)",NA,NA,NA,NA,2009,4,1,12,"Vest-Finnmark"
"190","2004",10834,"(-999.0,-999.0)",NA,NA,NA,NA,2009,5,1,12,"Vest-Finnmark"
"191","2004",10834,"(-999.0,-999.0)",8.3,NA,0,0,2009,11,1,12,"Vest-Finnmark"
"192","2004",10834,"(-999.0,-999.0)",7.29,NA,0,0,2009,12,1,12,"Vest-Finnmark"
"193","2004",10834,"(-999.0,-999.0)",6.82,NA,0,0,2010,1,1,12,"Vest-Finnmark"
"194","2004",10834,"(-999.0,-999.0)",5.46,NA,0,0,2010,2,1,12,"Vest-Finnmark"
"195","2004",10834,"(-999.0,-999.0)",4.09,NA,0,0,2010,3,1,12,"Vest-Finnmark"
